"CohortMonth","PeriodNumber","ActiveCustomers","CohortSize","RetentionRate"
2010-12-01,0,884,884,1
2010-12-01,1,323,884,0.365384615384615
2010-12-01,2,286,884,0.323529411764706
2010-12-01,3,339,884,0.383484162895928
2010-12-01,4,320,884,0.361990950226244
2010-12-01,5,352,884,0.398190045248869
2010-12-01,6,320,884,0.361990950226244
2010-12-01,7,308,884,0.34841628959276
2010-12-01,8,312,884,0.352941176470588
2010-12-01,9,349,884,0.394796380090498
2010-12-01,10,330,884,0.373303167420814
2010-12-01,11,444,884,0.502262443438914
2010-12-01,12,234,884,0.264705882352941
2011-01-01,0,416,416,1
2011-01-01,1,91,416,0.21875
2011-01-01,2,111,416,0.266826923076923
2011-01-01,3,95,416,0.228365384615385
2011-01-01,4,132,416,0.317307692307692
2011-01-01,5,120,416,0.288461538461538
2011-01-01,6,103,416,0.247596153846154
2011-01-01,7,100,416,0.240384615384615
2011-01-01,8,123,416,0.295673076923077
2011-01-01,9,136,416,0.326923076923077
2011-01-01,10,152,416,0.365384615384615
2011-01-01,11,49,416,0.117788461538462
2011-02-01,0,380,380,1
2011-02-01,1,71,380,0.186842105263158
2011-02-01,2,71,380,0.186842105263158
2011-02-01,3,109,380,0.286842105263158
2011-02-01,4,103,380,0.271052631578947
2011-02-01,5,93,380,0.244736842105263
2011-02-01,6,97,380,0.255263157894737
2011-02-01,7,104,380,0.273684210526316
2011-02-01,8,94,380,0.247368421052632
2011-02-01,9,116,380,0.305263157894737
2011-02-01,10,26,380,0.068421052631579
2011-03-01,0,452,452,1
2011-03-01,1,67,452,0.148230088495575
2011-03-01,2,114,452,0.252212389380531
2011-03-01,3,90,452,0.199115044247788
2011-03-01,4,101,452,0.223451327433628
2011-03-01,5,76,452,0.168141592920354
2011-03-01,6,121,452,0.267699115044248
2011-03-01,7,104,452,0.230088495575221
2011-03-01,8,126,452,0.278761061946903
2011-03-01,9,39,452,0.086283185840708
2011-04-01,0,300,300,1
2011-04-01,1,63,300,0.21
2011-04-01,2,61,300,0.203333333333333
2011-04-01,3,63,300,0.21
2011-04-01,4,59,300,0.196666666666667
2011-04-01,5,68,300,0.226666666666667
2011-04-01,6,65,300,0.216666666666667
2011-04-01,7,78,300,0.26
2011-04-01,8,22,300,0.0733333333333333
2011-05-01,0,284,284,1
2011-05-01,1,54,284,0.190140845070423
2011-05-01,2,49,284,0.172535211267606
2011-05-01,3,49,284,0.172535211267606
2011-05-01,4,59,284,0.207746478873239
2011-05-01,5,66,284,0.232394366197183
2011-05-01,6,75,284,0.264084507042254
2011-05-01,7,27,284,0.0950704225352113
2011-06-01,0,242,242,1
2011-06-01,1,42,242,0.173553719008264
2011-06-01,2,38,242,0.15702479338843
2011-06-01,3,64,242,0.264462809917355
2011-06-01,4,56,242,0.231404958677686
2011-06-01,5,80,242,0.330578512396694
2011-06-01,6,23,242,0.0950413223140496
2011-07-01,0,187,187,1
2011-07-01,1,33,187,0.176470588235294
2011-07-01,2,38,187,0.203208556149733
2011-07-01,3,42,187,0.224598930481283
2011-07-01,4,51,187,0.272727272727273
2011-07-01,5,21,187,0.112299465240642
2011-08-01,0,169,169,1
2011-08-01,1,34,169,0.201183431952663
2011-08-01,2,41,169,0.242603550295858
2011-08-01,3,41,169,0.242603550295858
2011-08-01,4,21,169,0.124260355029586
2011-09-01,0,299,299,1
2011-09-01,1,70,299,0.234113712374582
2011-09-01,2,90,299,0.301003344481605
2011-09-01,3,34,299,0.11371237458194
2011-10-01,0,357,357,1
2011-10-01,1,84,357,0.235294117647059
2011-10-01,2,41,357,0.11484593837535
2011-11-01,0,323,323,1
2011-11-01,1,36,323,0.111455108359133
2011-12-01,0,41,41,1
